U44613|URS461
U44610|NI
U44459|XZU055
U44111|URS411
U44073|URS407
U43953|URS395
U43726|URS372
U43695|URS369
U43583|URS358
U43543|UHA520
U43341|URS334
U39002|XLA900
U43220|UAS650
U43153|UDL381
U43130|XAS686
U43093|UDL184
U43066|UDL109
U42863|UZA145
U38909|NI
U30199|UMG019
U42088|XZV809
U38631|ULA863
U38590|UAM983
U38483|UBI848
U38393|XAR839
U38372|UMA837
U38365|UBI836
U38352|UBI835
U38306|UBI830
U38241|UZC080
U38175|UBI817
U30050|UZO129
U30007|UZV074
U38170|UAM175
U38158|UBI815
U38062|UMA806
U38034|UBI803
U29912|UAN974
U37498|XZS581
U37471|ULA747
U37441|ULA744
U37300|UAM695
U37216|UMG721
U37094|UBI709
U28787|UDG213
U36944|UHL069
U36805|UBI680
U36652|ULA665
U30111|UAR011
U36536|UMA653
U36510|UZM253
U36463|UMA646
U36226|UBI622
U36026|ULA602
U35820|UZL127
U35807|UGA250
U35751|UAR575
U35730|UAM965
U35709|UPP009
U35643|ULA564
U35623|ULA562
U35518|UZM469
U35498|UHI033
U35473|ULA547
U35315|UGD557
U35280|UZB213
U35142|UDM260
U34927|UVA570
U34891|UZO115
U39791|UMA979
U39705|ULA970
U39694|XLA969
U39688|NI
U39674|UBI967
U39484|UBI948
U39437|UBI943
U31561|UMG156
U31302|UMG130
U31207|UZV022
U31195|UMA119
U31193|UMA119
U31118|UAT998
U31019|UZM465
U30932|UAR093
U30703|UNG750
U30563|UVA060
U34874|UGD059
U34618|UHN223
U34583|NI
U34411|ULA441
U34124|ULA412
U34087|NI
U33868|UPM227
U33810|UZL126
U33780|UAM893
U33527|UAR352
U33460|UAM172
U33453|UMA345
U33379|UAN135
U33324|UMA332
U33137|UVR698
U33086|XBI308
U33028|UZU163
U33007|UGD876
U32936|UBI293
U32903|UMA290
U32756|UMA275
U32632|XLA263
U31977|UZI026
U25325|XVA532
U25247|UZS500
U25197|UZS503
U25173|XAS167
U25160|UZM288
U25065|UCO506
U24677|UZU509
U24669|UZU509
U26706|USA670
U26488|XSA277
U26321|UOH632
U26103|USA610
U26092|USA609
U26072|UVA607
U26024|USA602
U25871|XSA587
U25793|UAM790
U25751|USA575
U20024|USA002
U28545|UVA854
U28518|UGB508
U28434|USA843
U28245|USA824
U28089|UOH808
U20517|UZI502
U20486|UVA048
U27924|USA792
U27884|USA788
U27642|UVA764
U27631|XVA763
U27554|UVA755
U27514|XVA751
U27502|UVA750
U27348|XZB640
U27232|UVA723
U27063|UGA741
U29830|UAM863
U29822|UVA982
U29713|UPP004
U29684|UCO968
U29663|UVA966
U29537|XZO530
U29465|UVA946
U29460|UAM769
U29337|XZR033
U21613|UOH161
U21493|USA149
U21421|UVA142
U21391|USA139
U21276|UDC040
U21217|XZV440
U21145|USA114
U21128|UZE501
U21057|UZT500
U19373|UAT937
U19093|UHP922
U20805|USA080
U20772|USA077
U20740|UZL133
U20709|UZL533
U20673|UVA067
U20535|UVA053
U24298|UZU502
U24262|UDF883
U24126|USA412
U24121|USA412
U23987|UVA179
U23970|UZV077
U23791|UOH379
U23774|XSA377
U23751|USA375
U23743|USA374
U23576|UVA357
U23574|UVA357
U23361|XCO336
U23314|USA331
U19262|UGE782
U19256|UDB504
U23211|UVA321
U23137|UZB563
U22943|USA294
U19165|UZM951
U22645|USA264
U22473|XZB307
U22448|UZB536
U22435|UCO243
U22215|UCO221
U22177|UZB523
U19011|UGE632
U18997|UZS038
U22091|USA209
U21886|USA188
U21880|UAM172
U18920|UAM717
U18891|UZL347
U18799|UDM980
U18491|UZM002
U18484|UHC770
U18423|UDD261
U18367|UDL773
U17944|UTA794
U17935|UAN793
U10536|XZV125
U17543|UFN754
U17532|UFN753
U17424|UHP571
U17211|UFN721
U17151|UFN715
U17068|UFS766
U17067|UFS766
U17062|XAN706
U17057|ULA203
U16931|UFN693
U16574|UFN657
U16532|UFN653
U16338|UZL344
U16133|UAN613
U15942|UFN594
U15902|UFN590
U15726|UFN572
U15717|UDM238
U15639|UGD078
U15553|UGE872
U15551|UGE872
U15427|UZS018
U15396|XFN539
U15317|XZS001
U10691|UTA069
U15181|UFN518
U15090|UZU092
U14854|UTA485
U14752|UFN475
U14710|UZM415
U14692|UFN469
U10666|XZO031
U19696|UHK586
U19689|UHA073
U19492|XAT949
U11782|UAN178
U11736|UAN173
U11686|UTA168
U11671|UTA167
U11641|UTA164
U11515|UAT151
U11504|UGD501
U09980|UEV138
U11306|UGA653
U11274|UZL385
U11216|UGE796
U11204|UAT120
U11196|ULA395
U11124|UAN112
U11078|XZM056
U11068|UNG762
U10904|UTA090
U14588|UZE014
U14491|UFN449
U14471|UFN447
U14392|UFN439
U14391|UFN439
U14274|UFN427
U14230|UZM374
U14191|UFN419
U14137|UZB013
U14040|UZO015
U13845|UDN023
U13757|UDM238
U13561|UFN356
U13523|XFN352
U13338|UZP010
U13310|UZM216
U13308|UZP007
U13232|UDO603
U13121|XTA312
U12983|UAT298
U09820|UZB477
U12876|XZC109
U12794|UZE237
U12781|UHH167
U12599|UZE002
U12577|UZE000
U09804|UDM026
U09764|UDA976
U12266|UTA226
U12143|UAT214
U11925|XZB067
U09610|UZE527
U09604|UDL742
U09546|UGE954
U09425|UAT328
U09363|UGA936
U09067|UNE019
U09042|UGA904
U09033|UGA903
U08978|UHP212
U08974|UDL897
U08849|UHH835
U08833|UHH883
U03290|NI
U08710|UZL049
U08675|UGA867
U08636|UAN463
U08560|UEV191
U08332|XLA069
U08221|UFN561
U08173|UGA817
U08055|UDD099
U07995|UAN155
U07938|UHF989
U03525|UHH492
U07810|UEV107
U07787|UHC777
U07642|UHK764
U07591|UDI759
U07584|UDI758
U07556|UHE011
U07403|UGE740
U07377|UNF015
U07374|UGA737
U07293|UHH729
U07292|UHH729
U07213|UGE721
U03423|UGD342
U02693|UHH269
U06765|UGA676
U06747|UHA960
U06704|UGA670
U06646|UGA664
U06568|UHP009
U06564|UGA656
U10430|UZM403
U10344|XAN034
U10325|UAN032
U10311|UAN031
U10273|UTA027
U10261|UAT026
U10149|UZM006
U10093|UGC194
U04413|UHA102
U04337|UHF277
U04258|UHC111
U04257|UHC111
U04226|UGA422
U04131|UGA413
